From	To
H0YDX5	HGNC:28959
H0YDZ4	HGNC:32594
H0YE29	HGNC:673
H0YE35	HGNC:29550
H0YEN0	HGNC:29550
H0YF30	HGNC:29106
H0YFT5	HGNC:23151
H0YGL6	HGNC:9786
H0YH27	HGNC:30688
H0YI76	HGNC:6442
H0YIM2	HGNC:7618
H0YIN9	HGNC:6442
H0YIS3	HGNC:7618
H0YIV0	HGNC:12028
H0YJ21	HGNC:2961
H0YJC0	HGNC:9553
H0YJP3	HGNC:12729
H0YK46	HGNC:10397
H0YKA5	HGNC:6110
H0YKU1	HGNC:11873
H0YL69	HGNC:9533
H0YLE5	HGNC:7599
H0YLE8	HGNC:6110
H0YLH9	HGNC:5980
H0YLY0	HGNC:1738
H0YM50	HGNC:537
H0YMD0	HGNC:537
H0YMF9	HGNC:30300
H0YMT1	HGNC:15447
H0YMV8	HGNC:18476
H0YN19	HGNC:17940
H0YN40	HGNC:3299
H0YNJ6	HGNC:4377
H3BLU6	HGNC:14539
H3BLZ8	HGNC:2740
H3BMW5	HGNC:14884
H3BND3	HGNC:13870
H3BPE1	HGNC:13664
H3BPE7	HGNC:4010
H3BPZ3	HGNC:9066
H3BQK0	HGNC:2742
H3BQK9	HGNC:13664
H3BQN4	HGNC:414
H3BQZ7	HGNC:49189
H3BRY3	HGNC:2252
H3BS21	HGNC:5141
H3BS29	HGNC:2879
H3BS52	HGNC:2879
H3BSC0	HGNC:1539
H3BSC1	HGNC:9760
H3BT58	HGNC:18304
H3BTN5	HGNC:9021
H3BUM1	HGNC:14151
H3BUM9	HGNC:2444
H3BV73	HGNC:9395
H3BVH5	HGNC:5980
H7BXF4	HGNC:32949
H7BXV4	HGNC:25259
H7BY16	HGNC:7667
H7BYJ3	HGNC:1985
H7BZ35	HGNC:2678
